,intensity,latitude,longitude,validTimeUtc
191,-4000,22.21065,-93.14471,2018-12-04T10:29:31.770+0000
192,-3000,-16.35873,26.31878,2018-12-04T10:29:43.219+0000
193,11000,-15.7929,143.94014,2018-12-04T10:30:23.149+0000
194,-6000,-29.05111,127.86275,2018-12-04T10:29:33.298+0000
195,23000,-15.33567,143.66916,2018-12-04T10:29:56.059+0000
196,2000,-2.10232,34.36878,2018-12-04T10:29:32.386+0000
197,-101000,-3.21295,113.81291,2018-12-04T10:29:44.275+0000
198,-23000,-23.36834,152.37881,2018-12-04T10:30:03.801+0000
199,5000,27.37288,132.73871,2018-12-04T10:30:15.328+0000
200,-14000,-12.39204,132.913,2018-12-04T10:29:44.696+0000
201,4000,-13.91895,20.35436,2018-12-04T10:29:56.503+0000
202,-16000,-15.31683,143.7131,2018-12-04T10:30:07.868+0000
203,18000,-26.82812,156.10553,2018-12-04T10:29:36.160+0000
204,7000,-12.35916,133.07645,2018-12-04T10:29:48.597+0000
205,-10000,-15.62379,143.94291,2018-12-04T10:30:24.628+0000
206,-5000,-24.48101,121.72707,2018-12-04T10:29:30.752+0000
207,-12000,-12.65696,132.69859,2018-12-04T10:29:41.894+0000
208,-5000,-33.58375,34.7452,2018-12-04T10:30:15.091+0000
209,-23000,-29.41968,128.09784,2018-12-04T10:30:23.865+0000
210,-4000,-5.52883,29.94153,2018-12-04T10:29:26.569+0000
211,22000,-15.65583,144.30153,2018-12-04T10:29:35.161+0000
212,15000,19.97474,-94.1215,2018-12-04T10:29:58.411+0000
213,-10000,-29.42198,129.1,2018-12-04T10:29:45.083+0000
214,16000,-12.3895,133.05877,2018-12-04T10:30:21.438+0000
215,-14000,20.85711,-94.17152,2018-12-04T10:29:33.245+0000
216,40000,-12.70635,132.7172,2018-12-04T10:29:59.501+0000
217,12000,-15.60453,144.03344,2018-12-04T10:30:19.004+0000
218,-51000,-7.82895,179.76996,2018-12-04T10:30:25.810+0000
219,-32000,-29.81431,129.08415,2018-12-04T10:29:37.782+0000
220,-32000,-4.34622,177.87391,2018-12-04T10:30:11.979+0000
221,-12000,-29.76572,129.17308,2018-12-04T10:30:08.756+0000
222,-2000,20.80566,-94.20209,2018-12-04T10:29:46.824+0000
223,20000,-12.30346,132.77841,2018-12-04T10:30:18.368+0000
224,12000,-14.87745,142.79473,2018-12-04T10:30:20.936+0000
225,-22000,-15.69894,144.13692,2018-12-04T10:29:32.717+0000
226,12000,21.72571,-93.58871,2018-12-04T10:30:05.800+0000
227,-24000,-15.63852,143.9111,2018-12-04T10:30:16.732+0000
228,4000,27.5061,133.19975,2018-12-04T10:29:27.121+0000
229,18000,-15.64697,144.28319,2018-12-04T10:29:34.954+0000
230,-23000,-12.47737,132.93579,2018-12-04T10:29:26.346+0000
231,8000,-15.25493,143.20113,2018-12-04T10:29:45.791+0000
232,4000,-31.857590000000002,33.24273,2018-12-04T10:29:55.917+0000
233,-45000,-15.5233,143.92991,2018-12-04T10:30:11.599+0000
234,-11000,-15.54809,143.90369,2018-12-04T10:29:39.142+0000
235,3000,-15.45176,22.13095,2018-12-04T10:30:04.475+0000
236,16000,-15.62879,144.31192,2018-12-04T10:29:52.674+0000
237,5000,-14.02743,132.86496,2018-12-04T10:29:33.757+0000
238,23000,-15.53039,144.387,2018-12-04T10:29:59.482+0000
239,-14000,-28.10376,130.20447,2018-12-04T10:30:00.576+0000
240,-9000,-15.68677,125.29076,2018-12-04T10:30:06.811+0000
241,5000,10.13632,94.30115,2018-12-04T10:29:51.879+0000
242,-11000,-2.3735,17.19676,2018-12-04T10:30:21.176+0000
243,-3000,-10.6799,33.6028,2018-12-04T10:30:03.917+0000
244,23000,-15.30117,143.59571,2018-12-04T10:30:12.215+0000
245,2000,-16.07709,26.39616,2018-12-04T10:29:48.821+0000
246,26000,-15.55946,144.12264,2018-12-04T10:30:25.980+0000
247,-135000,8.91427,67.2448,2018-12-04T10:29:53.569+0000
248,-29000,-15.62243,144.28766,2018-12-04T10:30:22.408+0000
249,-45000,-15.61665,144.27016,2018-12-04T10:29:33.333+0000
250,8000,-1.72981,16.76925,2018-12-04T10:29:29.493+0000
251,-65000,-15.54827,143.91908,2018-12-04T10:29:53.014+0000
252,4000,-1.76564,16.77364,2018-12-04T10:30:14.816+0000
253,-4000,-22.05313,150.52269,2018-12-04T10:30:16.968+0000
254,10000,-15.4739,144.16931,2018-12-04T10:30:13.150+0000
255,-64000,-15.37115,143.45395,2018-12-04T10:29:32.013+0000
256,-32000,-15.54822,22.20918,2018-12-04T10:29:35.811+0000
257,-63000,-15.34815,143.54852,2018-12-04T10:29:48.523+0000
258,8000,-15.77133,143.87002,2018-12-04T10:29:41.279+0000
259,13000,-15.69454,143.89845,2018-12-04T10:30:00.851+0000
260,9000,-15.60039,143.89267,2018-12-04T10:29:56.628+0000
261,-27000,20.00343,-94.14753,2018-12-04T10:29:47.707+0000
262,-33000,-15.68924,143.95417,2018-12-04T10:29:57.433+0000
263,7000,-12.36143,133.00635,2018-12-04T10:30:17.481+0000
264,-1000,-13.26765,19.65293,2018-12-04T10:29:39.165+0000
265,12000,-15.4139,143.6458,2018-12-04T10:29:42.022+0000
266,2000,-8.17066,31.12396,2018-12-04T10:30:13.496+0000
267,9000,-15.82028,144.34797,2018-12-04T10:30:04.842+0000
268,3000,-4.41574,17.70487,2018-12-04T10:30:12.247+0000
269,19000,-15.8072,144.00831,2018-12-04T10:30:09.316+0000
270,26000,-15.36071,143.15728,2018-12-04T10:30:08.541+0000
271,-31000,-15.74284,144.02302,2018-12-04T10:29:34.724+0000
272,-11000,25.60567,128.67405,2018-12-04T10:30:20.576+0000
273,-43000,4.7856000000000005,114.91178,2018-12-04T10:29:43.338+0000
274,3000,22.17259,-93.08862,2018-12-04T10:29:31.537+0000
